date,Open,High,Low,Close,Adj Close,Volume
2011-02-22,211.460007,214.750000,209.080002,209.250000,209.250000,0
2011-02-23,209.380005,214.529999,209.270004,213.300003,213.300003,0
2011-02-24,213.600006,214.350006,207.559998,208.429993,208.429993,0
2011-02-25,208.809998,212.470001,208.809998,212.210007,212.210007,0
2011-02-28,212.679993,215.419998,212.169998,215.320007,215.320007,0
2011-03-01,215.970001,218.529999,215.940002,217.259995,217.259995,0
2011-03-02,217.889999,218.679993,215.740005,217.289993,217.289993,0
2011-03-03,215.899994,215.979996,212.089996,215.059998,215.059998,0
2011-03-04,215.309998,217.910004,214.800003,215.860001,215.860001,0
2011-03-07,216.080002,218.550003,213.169998,213.979996,213.979996,0
2011-03-08,213.740005,213.740005,208.929993,212.119995,212.119995,0
2011-03-09,212.449997,213.300003,207.699997,208.779999,208.779999,0
2011-03-10,206.949997,206.960007,201.360001,202.919998,202.919998,0
2011-03-11,202.410004,207.860001,200.720001,206.809998,206.809998,0
2011-03-14,206.289993,207.589996,203.990005,206.389999,206.389999,0
2011-03-15,204.130005,205.130005,197.460007,204.210007,204.210007,0
2011-03-16,204.850006,206.020004,197.289993,199.570007,199.570007,0
2011-03-17,201.089996,203.250000,199.800003,202.039993,202.039993,0
2011-03-18,202.639999,206.559998,202.639999,204.300003,204.300003,0
2011-03-21,205.100006,208.740005,204.970001,208.600006,208.600006,0
2011-03-22,208.210007,210.589996,206.919998,209.750000,209.750000,0
2011-03-23,210.360001,218.070007,210.360001,217.460007,217.460007,0
2011-03-24,217.929993,220.330002,214.990005,215.770004,215.770004,0
2011-03-25,216.139999,218.369995,214.059998,214.660004,214.660004,0
2011-03-28,213.970001,215.220001,211.490005,211.539993,211.539993,0
2011-03-29,211.210007,213.720001,209.470001,211.470001,211.470001,0
2011-03-30,212.320007,215.360001,211.570007,215.160004,215.160004,0
2011-03-31,215.619995,218.460007,215.589996,216.740005,216.740005,0
2011-04-01,216.630005,216.800003,213.880005,214.929993,214.929993,0
2011-04-04,216.690002,218.690002,215.570007,215.889999,215.889999,0
2011-04-05,215.729996,225.380005,215.210007,225.279999,225.279999,0
2011-04-06,226.360001,229.160004,224.039993,224.979996,224.979996,0
2011-04-07,225.240005,228.119995,224.550003,226.000000,226.000000,0
2011-04-08,226.490005,230.479996,226.000000,228.949997,228.949997,0
2011-04-11,228.610001,228.779999,220.679993,222.699997,222.699997,0
2011-04-12,221.339996,221.910004,216.660004,218.740005,218.740005,0
2011-04-13,219.830002,220.580002,215.619995,216.669998,216.669998,0
